是否法定,地形,是否農用,使用類型,面積
法定農業用地,平地範圍,農業使用,農糧作物,368493
法定農業用地,平地範圍,農業使用,養殖魚塭,41961
法定農業用地,平地範圍,農業使用,畜牧使用,9970
法定農業用地,平地範圍,農業使用,林業使用,31708
法定農業用地,平地範圍,農業使用,休閒農場,376
法定農業用地,平地範圍,農業使用,資源保育,75521
法定農業用地,平地範圍,農業使用,農村再生及水保設施,14
法定農業用地,平地範圍,農業使用,農水路使用,45088
法定農業用地,平地範圍,非農業使用,道路或道路設施（含停車場）,6523
法定農業用地,平地範圍,非農業使用,河川或水利設施,15437
法定農業用地,平地範圍,非農業使用,農舍,3222
法定農業用地,平地範圍,非農業使用,住宅,8632
法定農業用地,平地範圍,非農業使用,工廠,13871
法定農業用地,平地範圍,非農業使用,商場或餐廳,3054
法定農業用地,平地範圍,非農業使用,殯葬設施,1999
法定農業用地,平地範圍,非農業使用,宗教寺廟,1228
法定農業用地,平地範圍,非農業使用,公共或公用設施,2485
法定農業用地,平地範圍,非農業使用,土石採取或堆置,1449
法定農業用地,平地範圍,非農業使用,遊憩設施,894
法定農業用地,平地範圍,非農業使用,其他使用,9007
